,income,age,disability,employment
636,13,71,0,0
637,13,72,0,0
638,12,79,0,0
639,4,77,0,0
640,8,80,0,0
641,1,65,0,0
642,13,80,0,0
643,6,85,0,0
644,3,85,0,0
645,7,85,0,0
646,7,85,0,0
647,2,61,0,1
648,2,72,0,0
649,3,67,1,0
650,5,71,0,0
651,7,63,0,0
652,9,74,0,0
653,8,74,0,0
654,9,80,0,0
655,9,59,0,0
656,9,64,0,0
657,14,69,0,0
658,2,49,0,0
659,2,56,0,0
660,6,68,0,0
661,11,55,1,0
662,11,52,0,0
663,7,77,0,0
664,13,85,0,0
665,11,80,0,1
666,1,75,0,0
667,13,54,0,0
668,14,65,0,0
669,14,74,0,0
670,1,80,0,0
672,13,57,0,0
673,12,85,0,0
674,12,79,0,0
675,12,78,0,0
676,5,73,0,0
677,11,66,0,0
678,8,65,0,0
679,5,68,0,0
680,5,53,0,0
681,4,85,0,0
682,7,72,0,0
683,15,55,0,1
684,9,65,0,0
685,8,85,0,0
686,12,85,0,0
687,4,85,0,0
688,11,85,0,0
689,11,75,0,0
690,15,60,0,0
691,7,85,0,0
692,13,68,0,0
693,7,66,0,0
694,7,72,0,0
695,9,61,0,0
696,9,62,0,0
697,2,80,0,0
698,3,75,0,0
699,5,69,0,0
700,8,85,0,0
701,9,73,0,0
702,9,71,0,0
703,13,85,0,0
704,8,80,0,0
705,2,65,0,0
706,7,85,0,0
707,13,80,0,0
708,6,70,0,0
709,2,76,0,0
710,7,80,0,0
711,13,67,0,0
712,13,65,0,0
713,4,45,0,0
714,4,54,0,0
715,14,70,0,0
716,14,74,0,0
717,6,71,0,0
718,4,73,1,0
719,5,80,0,0
720,5,80,0,0
721,8,80,0,0
722,14,65,0,0
723,14,65,0,0
724,10,85,0,0
725,7,68,0,0
726,10,59,0,0
727,11,64,0,0
728,7,76,0,0
729,11,66,0,0
730,5,59,0,0
731,5,85,0,0
732,7,78,0,0
733,7,76,0,0
734,8,85,0,0
735,9,55,0,0
737,11,75,0,0
738,5,80,0,0
739,5,78,0,0
740,8,76,0,0
741,2,85,0,0
742,12,68,0,0
743,11,56,0,0
744,11,58,0,0
745,10,73,0,0
746,6,80,0,0
747,8,73,0,0
748,16,77,0,0
749,16,85,0,0
750,11,71,0,0
751,11,66,0,0
752,14,61,0,0
753,11,80,0,0
754,11,77,0,0
755,5,85,0,0
756,12,65,0,0
757,12,65,0,0
758,6,80,0,0
759,11,80,0,0
760,11,80,0,0
761,6,80,0,0
762,5,73,0,0
763,6,80,0,0
764,6,80,0,0
765,7,85,0,0
766,15,69,0,0
767,3,65,0,0
768,5,80,0,0
769,11,76,0,0
770,11,73,0,0
771,3,85,0,0
772,10,79,0,0
773,9,72,0,0
774,9,68,0,0
775,5,80,0,0
776,8,73,0,0
777,8,73,0,0
778,3,80,0,0
780,4,78,0,0
781,7,59,0,0
782,4,79,0,0
783,4,77,0,0
784,12,76,0,0
785,12,73,0,0
786,12,79,0,0
787,8,65,0,1
788,8,70,0,0
789,14,62,0,1
790,7,80,0,0
791,13,80,0,0
792,12,74,0,0
793,12,74,0,0
794,7,19,0,0
795,6,19,0,0
796,8,79,0,0
797,1,64,0,0
798,11,80,0,0
